y+ref	u+ref
0.099759176	0.099741116
0.39895895	0.39853311
0.89725506	0.89497936
1.5941476	1.5860184
2.488837	2.4643638
3.5804126	3.5128698
4.8676858	4.6969366
6.3492794	5.9609013
8.0236053	7.234848
9.8888865	8.4506655
11.943112	9.5579834
14.184073	10.531027
16.609381	11.365884
19.216448	12.072643
22.002462	12.66814
24.964451	13.170762
28.099257	13.597922
31.403482	13.964781
34.873638	14.284167
38.505974	14.566687
42.296612	14.820768
46.241497	15.052891
50.336388	15.268126
54.57692	15.470278
58.958549	15.662082
63.476566	15.845585
68.126152	16.022177
72.902336	16.192944
77.799973	16.358469
82.813835	16.51918
87.938538	16.67523
93.168625	16.826849
98.498489	16.973877
103.92239	17.116081
109.43457	17.253082
115.02907	17.384718
120.69996	17.510576
126.4411	17.630209
132.24641	17.742792
138.10962	17.847603
144.02449	17.943588
149.98468	18.029739
155.98376	18.104809
162.01538	18.167891
168.07301	18.217976
174.15022	18.254402
180.24048	18.276463
186.33725	18.283888
